ISBN,TITLE,AUTHOR FIRST NAME,AUTHOR LAST NAME,GENRE,PUBLISHED DATE
9780061120084,TO KILL A MOCKINGBIRD,HARPER,LEE,CLASSIC,1960-07-11
9780452284234,BRAVE NEW WORLD,ALDOUS,HUXLEY,DYSTOPIA,1932-03-01
9780141185071,1984,GEORGE,ORWELL,DYSTOPIA,1949-06-08
9780544003415,THE LORD OF THE RINGS,J.R.R.,TOLKIEN,FANTASY,1937-09-21
9780316015844,TWILIGHT,STEPHENIE,MEYER,FANTASY,2005-10-05
9780062315007,FAHRENHEIT 451,RAY,BRADBURY,SCIENCE FICTION,1953-10-19
9780385472579,ONE HUNDRED YEARS OF SOLITUDE,GABRIEL,GARCÍA MÁRQUEZ,MAGICAL REALISM,1985-06-05
9780743273565,SLAUGHTERHOUSE-FIVE,KURT,VONNEGUT,SCIENCE FICTION,1969-03-01
9780307269751,KAFKA ON THE SHORE,HARUKI,MURAKAMI,FICTION,2005-01-03
9780062316097,A GAME OF THRONES,GEORGE,R.R. MARTIN,FANTASY,1996-08-06
9781451673319,THE BOOK THIEF,MARKUS,ZUSAK,HISTORICAL FICTION,2005-03-14
9780345810014,PRIDE AND PREJUDICE,JANE,AUSTEN,CLASSIC,1813-01-28
9780061122415,GO SET A WATCHMAN,HARPER,LEE,CLASSIC,2015-07-14
9780547928227,HARRY POTTER AND THE SORCERER'S STONE,J.K.,ROWLING,FANTASY,1997-06-26
9780062454942,GONE GIRL,GILLIAN,FLYNN,THRILLER,2012-06-05
9781400079988,THE KITE RUNNER,KHALED,HOSSEINI,HISTORICAL FICTION,2003-05-29
9780307477477,WAR AND PEACE,LEO,TOLSTOY,HISTORICAL FICTION,1869-01-20
9780345803474,THE OLD MAN AND THE SEA,ERNEST,HEMINGWAY,NOVEL,1926-10-20
9780061120084,TO KILL A MOCKINGBIRD,HARPER,LEE,CLASSIC,1960-07-11
9780141185071,1984,GEORGE,ORWELL,DYSTOPIA,1949-06-08
9780547928227,HARRY POTTER AND THE SORCERER'S STONE,J.K.,ROWLING,FANTASY,1997-06-26
9780062454942,GONE GIRL,GILLIAN,FLYNN,THRILLER,2012-06-05
9780385472579,ONE HUNDRED YEARS OF SOLITUDE,GABRIEL,GARCÍA MÁRQUEZ,MAGICAL REALISM,1985-06-05
9780452284234,BRAVE NEW WORLD,ALDOUS,HUXLEY,DYSTOPIA,1932-03-01
9780061122415,GO SET A WATCHMAN,HARPER,LEE,CLASSIC,2015-07-14
9780307477477,WAR AND PEACE,LEO,TOLSTOY,HISTORICAL FICTION,1869-01-20
9780544003415,THE LORD OF THE RINGS,J.R.R.,TOLKIEN,FANTASY,1937-09-21
9781400079988,THE KITE RUNNER,KHALED,HOSSEINI,HISTORICAL FICTION,2003-05-29
9780345803474,THE OLD MAN AND THE SEA,ERNEST,HEMINGWAY,NOVEL,1926-10-20
9780061120084,TO KILL A MOCKINGBIRD,HARPER,LEE,CLASSIC,1960-07-11
9780141185071,1984,GEORGE,ORWELL,DYSTOPIA,1949-06-08
9780547928227,HARRY POTTER AND THE SORCERER'S STONE,J.K.,ROWLING,FANTASY,1997-06-26
9780062454942,GONE GIRL,GILLIAN,FLYNN,THRILLER,2012-06-05
9780385472579,ONE HUNDRED YEARS OF SOLITUDE,GABRIEL,GARCÍA MÁRQUEZ,MAGICAL REALISM,1985-06-05
9780452284234,BRAVE NEW WORLD,ALDOUS,HUXLEY,DYSTOPIA,1932-03-01
9780061122415,GO SET A WATCHMAN,HARPER,LEE,CLASSIC,2015-07-14
9780307477477,WAR AND PEACE,LEO,TOLSTOY,HISTORICAL FICTION,1869-01-20
9780544003415,THE LORD OF THE RINGS,J.R.R.,TOLKIEN,FANTASY,1937-09-21
